symbol,baseMean,log2_FoldChange,lfcSE,stat,minus_log10_pvalue,minus_log10_padjvalue
ACAD10,229,-0.772,0.2,-3.2,2.9,1.37
ACAD8,335,-0.209,0.2,-1.3,0.68,0.35
ACADM,941,0.175,0.2,1,0.47,0.24
ACADS,174,0.067,0.2,0.4,0.17,0.08
ACADSB,567,0.097,0.2,0.5,0.2,0.09
ACAP2,2969,-0.124,0.2,-0.7,0.32,0.16
ACAT1,628,0.226,0.2,1.1,0.56,0.28
ACAT2,467,0.45,0.2,1.9,1.26,0.64
ACBD4,110,-0.309,0.2,-1.8,1.1,0.56
ACBD6,346,0.226,0.2,1.5,0.88,0.45
ACD,178,0.245,0.2,1.4,0.76,0.39
ACO1,245,0.025,0.2,0.1,0.05,0.02
ACOT13,377,0.633,0.2,3.1,2.66,1.27
ACOT9,766,-0.429,0.2,-2.2,1.56,0.79
ACOX1,809,-0.165,0.2,-0.9,0.44,0.22
ACP2,321,-0.082,0.2,-0.4,0.18,0.09
ACP5,397,0.554,0.2,2.2,1.6,0.81
ACSF3,397,-0.279,0.2,-1.6,0.97,0.5
ACSL3,764,0.118,0.2,0.7,0.3,0.15
ACSL4,2143,-0.217,0.2,-1,0.47,0.24
ACSL5,1578,0.284,0.2,1.7,1.1,0.56
ACSS1,1082,0.141,0.2,0.9,0.43,0.22
ACTB,151061,-0.089,0.2,-0.4,0.16,0.07
ACTG1,43289,0.264,0.2,1.4,0.81,0.41
ACTL6A,750,-0.003,0.2,0,0.01,0
ACTMAP,146,-0.191,0.2,-1,0.53,0.27
ACTN1,1729,-0.508,0.2,-2.8,2.27,1.11
ACTN4,2155,-0.088,0.2,-0.4,0.17,0.08
ACTR10,1058,-0.254,0.2,-1.5,0.89,0.46
ACTR3,12016,0.269,0.2,1.7,1.08,0.55
ACTR6,691,0.447,0.2,2.6,2.09,1.02
ACTR8,528,-0.044,0.2,-0.2,0.08,0.04
ACVR1,400,-0.089,0.2,-0.4,0.15,0.07
ACVR1B,387,-0.2,0.2,-0.9,0.42,0.21
ACY1,87,-0.061,0.2,-0.3,0.13,0.06
ACYP2,193,0.239,0.2,1.2,0.61,0.31
ADAM10,3928,-0.172,0.2,-1.1,0.55,0.28
ADAM17,961,-0.607,0.2,-2.9,2.5,1.21
