Gene,baseMean,log2_FoldChange,pvalue
LRRC36,8.42,0.08,0.428728636
SLC18B1,10.45,-0.03,0.421368521
STX17,9.95,-0.04,0.420348538
B4GALT5,13.52,0.01,0.423077301
LINC02561,4.69,0.21,0.451424066
NIT1,9.58,0.03,0.424065984
IZUMO4,6.15,-0.07,0.416238052
SLC4A4,11.08,-0.05,0.419724416
AC093249.6,4.08,-0.41,0.375344269
LINGO1,5.24,-0.22,0.40113576
IFNE,2.52,-0.19,0.386728435
METTL25,8.15,-0.11,0.415516762
NUTM2A-AS1,8.69,0.05,0.426013753
IKZF1,3.79,-0.17,0.398948296
NRG1,7.64,-0.08,0.417234887
RNU6-8,4.83,0.14,0.440483951
SNRPB2,10.03,0.04,0.42535852
UBXN1,11.33,-0.02,0.421972688
BMP1,9.28,-0.07,0.417951597
PPP2R2C,5.62,-0.13,0.410634001
LYPD2,8.17,0.08,0.427939784
NPIPB3,4.81,-0.19,0.401590477
MED21,10.39,-0.04,0.420078109
PNLDC1,7.8,0.09,0.429976204
SOX12,9.37,-0.06,0.418595808
CYP2T1P,6.83,-0.15,0.411050554
